No,Key Action,Transformative_Action,App Name,Value_Chain,Service,Comparison Tech,all_tech,Tech,Tech2,Tech3,Tech4,Origin_city,Origin_country,Country_adoption,info additional,all_donors,Donor1,Donor2,Donor3,Donor 4,Donor5,OThers donors,Org1,Org2,Org3,,User_payment,Ownership,Description,all_levels,Level1,Level2,Level3,Level4,Level5,#,Pro_poor focus?,website,Twitter,Information ,Link ,Issues,Donors double chekc
25,"1.Increase productivity, employment and value addition in food systems",4. Build producers’ knowledge and develop their capacities,Golden Paddy (Impact Terra),AGTECH,Digital Advisory,"Mobile app, Facebook","Social Media,Mobile - Advisory,",Social Media,Mobile - Advisory,,,,Myanmar,Myanmar,Self-funded,"World Summit Award,Geodata for Agriculture and Water,,,",World Summit Award,Geodata for Agriculture and Water,,,,,Impact Terra,,,,,Social Entrerprise,"Our mobile application Shwe Thee Nhan provides our users, whom are mostly farmers in Myanmar, with an easy-to-use visual interface and real-time, targeted content such as weather forecasts, input crop market prices, product information, farming best practices, news, risk announcements, and much more. 

Besides, as in Myanmar farmers see Facebook as the internet, we also have an active community on Facebook. Our Shwe Thee Nhan Facebook page has more than 150,000 farmers being interested and highly engaged in our posts, by sharing, liking and commenting.

We see ourselves as an independent platform and succesfully partner up with local governmental agricultural bodies, local CSOs and NGOs, international NGOs, international and local knowledge institutes, agribusiness companies, money providers and other social enterprises.","Individual,Community,Business,Government,",Individual,Community,Business,Government,,,Yes,www.impactterra.com,,,,,1
26,"4.Enhance the resilience of people, communities and ecosystems",13. Prevent and protect against shocks: enhance resilience,Groundtruth,AGTECH,Digital Advisory,"low-cost internet-of-things (IoT) weather stations to be installed in farmers' fields (sensors), crowdsourcing (via IVR), cloud analytics","IVR,Sensors,IoT",IVR,Sensors,IoT,,,India,India,Donor,",,,,",,,,,,,"Groundtruth, LLC",,,,,,"We help smallholder farmers by gathering granular data on weather and agricultural conditions. These data capture microclimatic patterns often missed by satellite imagery and can be critical to smallholder farmers. Our data collection platform consists of 3 parts--1. low-cost weather stations, 2. Interactive voice response (IVR) crowdsourcing platform to collect self-reported weather conditions from farmers, and 3. cloud-based analytics platform to combine data from our sensors and crowdsourced data together with satellite imagery to form a granular picture of weather and growing conditions.","Community,Business,Government,,",Community,Business,Government,,,,Yes,www.groundtruthdata.com,,,,,1
27,"4.Enhance the resilience of people, communities and ecosystems",15. Address and adapt to climate change,Harvesting Inc,AGTECH,Digital Advisory,,"AI & Machine learning,GIS/RemoteSensing,Big data",AI & Machine learning,GIS/RemoteSensing,Big data,,California,United States,,,"Catalyst Fund,Omidyar Network,,,",Catalyst Fund,Omidyar Network,,,,,Ruchit Garg,,,,,Startup,"Harvesting provides online software as a service (SAAS) which allows stakeholders in agriculture value chain to view, analyze and manage their agri-climatic business risk via data collection, data analysis, and data reporting. Agriculture Intelligence Engine, a digital platform that combines remote sensing satellites, agriculture, AI and financial tools to drive the financial inclusion of small farmers","Individual,Business,,,",Individual,Business,,,,,Not sure,http://www.harvesting.co/,,"Agriculture Intelligence Engine, a digital platform that combines remote sensing satellites, agriculture, AI and financial tools to drive the financial inclusion of small farmers",,,
28,"1.Increase productivity, employment and value addition in food systems","1. Facilitate access to productive resources, finance and services",Hello Tractor,AGTECH,Farming managment ,"IoT, sensors, mobile app, web app, data analytics","Management Software,Machinery,",Management Software,Machinery,,,,Nigeria,"Nigeria, Kenya, South Africa","Donor, Private investors, Self-funded, User fees",",,,,",,,,,,,Hello Tractor,,,,,Startup,Hello Tractor has developed a low cost monitoring device that when placed on a tractor provides the owner with powerful software and analytics tools to ensure tractors are both profitable and properly cared for. Across the developing world tractors are owned as a business. Hello Tractor has created a mobile app for tractor owners to monitor their tractor and tractor operator while connecting them to our network of farmers texting for tractor service over our booking platform. We use data from the tractor to assist banks in tractor loan portfolio management and technicians in spare-part supply chain and maintenance management.,"Individual,Community,Business,Government,",Individual,Community,Business,Government,,,Yes,www.hellotractor.com,,,,,1
29,3.Improve livelihoods and foster inclusive economic growth ,9. Empower people and fight inequalities,Hiking Hackathons and Mobile Laboratories,DIGITAL DIVIDE,E-Learning,"Open source microcontrollers and platforms (Arduinos, multiple environmental sensors, wireless communication devices), mobile apps.","Smart equipment & Hardware,Weareables,",Smart equipment & Hardware,Weareables,,,,Singapore,"Singapore. Hopefully soon to Indonesia and Malaysia. Previously Panama, USA, Philippines, and Madagascar","Academic institution, Crowdfunding, Donor, Government, Private investors, Self-funded, User fees",",,,,",,,,,,,Digital Naturalism,,,,,,"I develop and lead multidisciplinary workshops with field biologists, designers, and engineers to make scientific tools and interactive artwork in the jungle. To do this, we also create ""Mobile Laboratories"" consisting of special backpacks, clothes, and equipment to create and repair technology in the wild. This equipment and these expeditions were even spun on into a international Television show by Discovery Networks called ""hacking the wild"" (Airs in Asia May 28) in which you can see some of the mobile laboratory equipment we created http://www.sciencechannel.com/tv-shows/hacking-the-wild/ .  other examples include the philippines floating hackerspace developed with the fishing village community there: https://www.youtube.com/watch?v=n0L-SNO4A5w&feature=youtu.be ","Individual,Community,Business,Government,",Individual,Community,Business,Government,,,Yes,www.digitalnaturalism.org,,,,,1
30,3.Improve livelihoods and foster inclusive economic growth ,9. Empower people and fight inequalities,HITCH,DIGITAL DIVIDE,E-Learning,"WiFi, Smart Algorithms, Predictive Content Caching/Delivery, Mini-Computers/Wireless Routers, Embedded Software, Big Data Analytics, Cloud, Edge Caching, Mesh Networks, Mobile App, Smart Solar + Battery, Sensors","Smart equipment & Hardware,Mobile - Advisory,Data Analytics",Smart equipment & Hardware,Mobile - Advisory,Data Analytics,,,Nigeria,Nigeria,"Academic institution, Donor, Government, Self-funded",",,,,",,,,,,,"Flexfinity, Inc.",,,,,,"HITCH (www.tryhitch.com) is a cost-effective solar+battery-powered smart wireless router that automatically creates and interconnects community WiFi hotspots, into a dynamic cloud + device platform for revolutionizing content delivery and broadband services in underserved areas. HITCH forms WiFi Data Hubs (i.e. HITCHSpots) enabling users to affordably store and stream videos and other educational information, talk/chat with each other, and access Internet content, without needing individual ISP connections. Additionally, we designed HITCH devices to run entirely on renewable energy (solar and battery) to power the services. Given critical energy shortages in our target markets, we are also including off-grid charging capacity to power functional productivity-enhancing devices (such as smartphones and LED lights) for end-users as an add-on to the value proposition.","Individual,Community,Business,Government,",Individual,Community,Business,Government,,,Yes,www.tryhitch.com,,,,,1
31,"1.Increase productivity, employment and value addition in food systems",4. Build producers’ knowledge and develop their capacities,iCow,LIVESTOCK TECH,Digital Advisory,"Mobile, SMS, USSD","SMS,Big data,USSD",SMS,Big data,USSD,,,Kenya,"Kenya, Ethiopia, Tanzania","Donor, Private investors, Self-funded",",,,,",,,,,,,Green Dreams TECH Ltd,,,,,Startup,"iCow is a mobile phone based agricultural platform providing farmers services and products aimed at increasing productivity based on good agricultural practices. 
It is purposed to help farmers become resilient to climate change and food secure and is designed from low end phones up.

Farmers access iCow via their m phones and receive rich agricultural content via SMS. It is available in Kenya and Tanzania in English and Kiswahili and in Ethiopia in Amharic,Tigrigna & Oromiffa languages. 
Feedback into iCow is via SMS,Data Pull and the GDT research lab surveys. Content and services are generated based on this cycle of feedback from farmers in a customer centric design ensuring value to its users.

Impact areas: Increased productivity, knowledge, incomes and resilience to climate change, reduced livestock mortality.

The iCow platform is designed to scale across continents & languages.

GDT strategic partners :Elea Foundation for Ethics in Globalisation, Accenture Switzerland & Safaricom Ltd. 
","Individual,Community,Government,,",Individual,Community,Government,,,,Yes,www.icow.co.ke,,,,,1
32,"1.Increase productivity, employment and value addition in food systems",4. Build producers’ knowledge and develop their capacities,IFFCO Kisan Agriculture App,AGTECH,Digital Advisory,"Agriculture VAS, Agriculture Mobile Application","Mobile - Advisory,,",Mobile - Advisory,,,,,India,India,It is a joint venture between 3 companies,"IIFCCO,Bharti Airtel,,,",IIFCCO,Bharti Airtel,,,,,IFFCO Kisan Sanchar Limited,,,,,Private,"Every day, 4 free voice messages are delivered to the farmers. Each voice message is of 1 minute duration and covers diverse areas related to agriculture such as soil & crop management, animal husbandry, market rates, weather, health, government schemes, etc.  
Farmers can get a solution to their problems/queries through helpline. Subscribers, who have missed a voice message or would like to listen to the messages again, can listen to messages again.
Live ‘phone-in’ programs are organised where experts related to a pre-announced subject are available for more focused personalized advisory. Mobile based quizzes based on the content provided are organized.
We promote special Communities with common interests to extend focused services. These communities receive highly customised information. A total of 55 communities are formed in association with like-minded partners. The country is divided into 108 zones to provide contextual information on the basis of agro-climatic conditions.","Individual,Community,Business,Government,",Individual,Community,Business,Government,,,Yes,www.iffcokisan.com,,https://www.gsma.com/mobilefordevelopment/wp-content/uploads/2016/10/IFFCO-Kisan-Agricultural-App.pdf,,,1
33,3.Improve livelihoods and foster inclusive economic growth ,9. Empower people and fight inequalities,IluminAid,EDUCATION,Digital Infraesctructure,"Battery-powered projectors
Digital cameras","Smart appliance,Video,",Smart appliance,Video,,,,India,"India, Panama, Nepal, Mozambique, Rwanda, Ethiopia, Guatemala, Guinea, Cambodia, Senegal, Guinea-Bissau, Liberia, Tanzania, Gambia, Kenya, Malawi, South Africa, Zambia, UK, Bangladesh, Laos, Vietnam","Donor, Government, User fees","VideoMaker,CoresStudio ,Voltaic Sytems,Adobe,",VideoMaker,CoresStudio ,Voltaic Sytems,Adobe,,,One Mobile Projector Per Trainer,,,,,NGO,"Video is an underutilized resource in behavior change communication and training. This is largely due to lack of electricity and the assumption that it requires significant technical expertise. One Mobile Projector Per Trainer (OMPT) revolutionizes how information is delivered to remote populations through the use of video and battery-powered projectors.
 
OMPT builds the capacity of organizations to create their own videos for learning, training, behavior change communication, and knowledge transfer. These videos are shown in schools, refugee camps, and in communities on battery-powered video projectors. This intervention can support learners in formal and informal settings with video lessons on traditional education topics like literacy, math, and science. Videos related to WASH, nutrition, and livelihoods can also be used. Additionally, teacher capacity can be built through videos that model best practices in classroom activities and behaviors.  ","Community,,,,",Community,,,,,,Yes,www.ompt.org,,,,,1
34,"1.Increase productivity, employment and value addition in food systems",2. Connect smallholders to markets,infinca ,FOOD SAFETY& TRACEABIILITY,e-commerce,,"Management Software,QR Codes,Data Visualization",Management Software,QR Codes,Data Visualization,,Medellin,Colombia,,,",,,,",,,,,,,ifinca,,,,,Startup,"We exist to empower consumers and producers; building a more ethical supply chain. Our app connects you to the farmers behind your cup of coffee. Bridging the information gap, sharing producers’ stories and providing real data about how much they were paid, so that you can buy a coffee from a company whose values align with yours.","Individual,Organizations,Business,,",Individual,Organizations,Business,,,,Yes,https://www.ifinca.co/,,,,,1
35,"1.Increase productivity, employment and value addition in food systems",2. Connect smallholders to markets,Innovative Market for African Agriculture Produce.,AGTECH,Digital Advisory,"Hand sets, Phone book, Mobile app, WhatsApp, Facebook, Instagram, Imo etc.","Mobile - Advisory,Social Media,",Mobile - Advisory,Social Media,,,,Philippines,Africa and Asia,"Private investors, Self-funded",",,,,",,,,,,,Nigerian women agro allied farmers association.(Niwaafa),,,,,,"Innovative Market for African Agriculture is a digital technology used in uploading information's on all available farm produce, locations and availability to online market system that operates on real time online simple modem  and makes it easy to access, interact and bargain as well as buy or sale farm produce at easy and affordable prices, using sophisticated or simple ICT Gadget to transact. Imaap is a digital market made simple to enhance easy marketability, exposure of buyers and sellers, and also creation of a common market in Africa and Asia. This can be replicated in other parts of the world.  ","Individual,Community,Business,Government,",Individual,Community,Business,Government,,,Yes,www.niwaafa.com,,,,,1
36,"1.Increase productivity, employment and value addition in food systems","1. Facilitate access to productive resources, finance and services",LISA,AGTECH,Digital Advisory,Mobile Application,"Mobile - Advisory,SMS,",Mobile - Advisory,SMS,,,,Indonesia,Indonesia,"Donor, Private investors, Self-funded, User fees, Private companies",",,,,",,,,,,,Mercy Corps,,,,,Donors Programs (international Based),"Mercy Corps partnered with Bank Andara, Syngenta Indonesia, BPR Pesisir Akbar, ACA Insurance and 8villages to provide access to bundled advisory and financial services through affordable, unified platforms and mobile phone channels for corn farmers in Sumbawa Island. Through the Agri-Fin Mobile Program, Mercy Corps and its partners used a mobile data collection application that provides them with a better understanding of farmer profiles, while helping monitor crop conditions, validate the field condition for insurance claims as a result to drought or cyclones, and monitor agricultural input distribution through digital vouchers. 8villages' LISA product is a mobile platform that empowers local smallholder farmers to receive agricultural tips and submit their problems to experts. It also allows farmers to report data on farming, harvest and post-harvest activities using SMS. ","Individual,Family,Business,,",Individual,Family,Business,,,,Yes,http://mercycorps.org/,,,,,1
37,"1.Increase productivity, employment and value addition in food systems",4. Build producers’ knowledge and develop their capacities,M-Shamba,AGTECH,Digital Advisory,,"SMS,Mobile - Advisory,IVR",SMS,Mobile - Advisory,IVR,,Nairobi,Kenya,,,",,,,",,,,,,,M-shamba,,,,User,Startup,M-shambais a Nairobi based Start-up that has been working with farmers across East Africa to effectively deploy farming technologies among smallholder farmers using basic mobile phones. The innovation focuses on the use of simple phones commonly known as feature phones to deliver vital information to the smallholder farmers even in remote areas.,"Individual,Organizations,,,",Individual,Organizations,,,,,Yes,https://m-shamba.net/,,M-shambais a Nairobi based Start-up that has been working with farmers across East Africa to effectively deploy farming technologies among smallholder farmers using basic mobile phones. The innovation focuses on the use of simple phones commonly known as feature phones to deliver vital information to the smallholder farmers even in remote areas.,http://documents1.worldbank.org/curated/en/404601562827298352/pdf/Creating-an-Innovation-to-Connect-a-Million-Kenyan-Farmers-to-Disruptive-Agricultural-Technologies.pdf,https://books.google.fr/books?id=KFkyDwAAQBAJ&pg=PA22&lpg=PA22&dq=m-shamba+donor&source=bl&ots=UyvELzOWj6&sig=ACfU3U2Qrz6qai1anVR4vduNa-OyNRSkbQ&hl=en&sa=X&ved=2ahUKEwjbu5u8vPPwAhXL6eAKHfHFDDsQ6AEwEHoECAoQAw#v=onepage&q=m-shamba%20donor&f=false,
38,3.Improve livelihoods and foster inclusive economic growth ,9. Empower people and fight inequalities,Mentor To Go,EDUCATION,E-Learning,"Mobile app, call routing, feature phones","Mobile - Advisory,,",Mobile - Advisory,,,,,India,India,Donor,",,,,",,,,,,,Praekelt.org,,,,,,"A mobile mentoring program connecting girls in rural areas to professional women, Mentor to Go builds on the existing in-person mentoring service developed by Mentor Together.  The vulnerable girls enrolled in the programme are expected to demonstrate increased self-confidence and perceptions of self-efficacy, increased knowledge.  The Android app for mentors connects them to their mentee via free calls, and is supported by an open-source back-end.  The programs offers a flexible schedule to accommodate women’s household responsibilities, professional obligations, and girls’ school timings.
","Individual,,,,",Individual,,,,,,Yes,"http://mentortogo.org/, www.praekelt.org",,,,,1
39,"1.Increase productivity, employment and value addition in food systems",3. Encourage diversification of production and income,mKRISHI® ,AGTECH,Farming managment ,"Mobile, Web, Interactive Voice Response (IVR), Mobile App, Big Data Analytics, Internet of Things (IoT), Social Media, Cloud","IoT,Big data,IVR",IoT,Big data,IVR,Mobile - Advisory,,India,India,"Self-funded, TCS Funded",",,,,",,,,,,,TATA CONSULTANCY SERVICES (TCS),,,,,,"The PRIDE™ (Progressive Rural Integrated Digital Enterprise) powered by the TCS mKRISHI® platform is one of the innovative business models, which is being promoted to overcome the inefficiencies prevailing in the current agri value-chain, especially in emerging economies. It is a self-sustaining, economically viable rural entity made possible through the appropriate intervention of Social Networks, Mobility, Analytics, Cloud, IoT which enable a revolutionary cyclic data optimization process. This involves continuous data collection from the field, aggregation of the collected data and secure transmission through the cloud. Various specialized data analytics algorithms act on the data and the insights gained through this are used to direct the on-field operations. Thus, the complete gamut of agricultural transactions across the value chain are converted into scientific, data-driven processes which remove a lot of the uncertainty currently prevailing in the farmers’ lives","Individual,Community,Business,Government,",Individual,Community,Business,Government,,,Yes,www.tcs.com,,,,,1
40,"1.Increase productivity, employment and value addition in food systems",3. Encourage diversification of production and income,mKRISHI® RSDP,AGTECH,Digital Advisory,"We are using mobile phone, web, IVR, GIS, GPS, automatic weather station of partner, sensor networks, speech etc. ","IVR,GIS/RemoteSensing,Sensors",IVR,GIS/RemoteSensing,Sensors,,,India,India,Self-funded,",,,,",,,,,,,Tata Consultancy Services,,,,,,"mKRISHI® is a platform for stakeholders in the agri-supply chain like farmer & fishermen.Technologies used are mobile phone, web, IVR,GIS,GPS,Automatic Weather Station,Sensor networks,speech.It helps information exchange.Using mobile phones/simple phones the farmer is able to ask questions to agri-experts, see weather forecast, click photograph.TCS partnered with IARI,CRRI,OUAT to digitally connect climatically vulnerable 400+ villages in four states,advising 20,000 queries of 10,000 farmers,1.5Lac weather forecast hits.mKRISHI® partnered with CMFRI,INCOIS India to make available Potential Pelagic Fishing Zones,Wind Speed,Direction,Wave height, to fishermen on their mobile handsets.mKRISHI® with content in local language.Increased yield and reduce diesel use.In natural disasters like cyclone like Hudhud (2014), Phailin (2013) in  the North Indian Ocean, it played role to disseminate critical information to farmer & fisherman about crop management and warning against venturing into sea.","Individual,Family,Community,Business,Government",Individual,Family,Community,Business,Government,,Yes,https://www.tcs.com/,,,,,1
41,"4.Enhance the resilience of people, communities and ecosystems",16. Strengthen ecosystem resilience,Mobile Agriculture,AGTECH,Digital Advisory,"Interactive Voice Response (IVR and SMS based service), request based Out Bound Calls
 Push text messages
 Data Analytics for user acquisition","IVR,SMS,Data Analytics",IVR,SMS,Data Analytics,,,Pakistan,Pakistan,DFID through GSMA Mobile Agriculture program,",,,,",,,,,,,Telenor Pakistan,,,,,,"Telenor Pakistan has the largest rural market share which amounts to approximately 22 Million subscribers. We are also the biggest digital access provider and financial services provider for rural population of the country. In line with its vision of “Empower Societies” and working towards UN’s SDGs, Telenor Pakistan launched its “KHUSHAAL ZAMINDAR” service for smallholder farmers which make up 89% of Pakistan’s 30 Million farmer base, in December 2015. The service provides localized, contextualized and customized weather forecast, agronomic and livestock advisory through robo-calls and SMS to help increase crop yield, reduce post-harvest losses, safeguard food’s nutrition and better manage adverse climatic effects and natural resources. 2.5 Million farmers are currently benefitting from this free service covering a range of cash crops, fruits, vegetables, fodders and livestock in multiple languages.","Individual,Family,Community,,",Individual,Family,Community,,,,Yes,www.telenor.com.pk,,,,,1
42,"1.Increase productivity, employment and value addition in food systems",2. Connect smallholders to markets,Moyee Coffee,FOOD SAFETY& TRACEABIILITY,e-commerce,,"Blockchain,QR Codes,",Blockchain,QR Codes,,,Amsterdam,Netherlands,,,",,,,",,,,,,,Guido Van Staveren,,,,User,Startup,Fair Value Chain,"Individual,Organizations,Business,,",Individual,Organizations,Business,,,,Yes,https://www.moyeecoffee.com/,,Moyee Coffee blockchain-based social business model supplying Ethiopian roasted specialty coffee to consumers in Ireland,https://moyeecoffee.ie/,,
43,5.Adapt governance to new challenges,19. Adapt and improve investment and finance,Mr. Finance: Financial Education Chatbot,EDUCATION,E-Learning,"Chatbots, Facebook messenger, JSON API, geolocation","Chatbot,Social Media,",Chatbot,Social Media,,,,Myanmar,Myanmar,Donor,",,,,",,,,,,,Opportunities NOW Myanmar,,,,,,"Mr. Finance Chatbot delivers financial education to the Base of the Pyramid. Myanmar's mobile revolution is proving to be app-less. People use messenger services but rarely download apps because of limited storage. This bot lets us deliver emotionally engaging content through a common platform to any smart phone user. Through notifications we can send timely reminders to induce behavior change. We can use geolocation and past user behavior to provide customized services to specific users. The bot  is interactive and UX is intuitive–a must in a frontier market that is low in tech literacy. Mr. Finance is effective for microfinance institutions, which want to support capacity building for their borrowers for risk management but are limited by tight operating margins. The bot automates the process of training borrowers to make better financial decisions, creating a immediate-response customer service tool and a direct messaging link scalable to thousands of users.","Individual,Community,Business,,",Individual,Community,Business,,,,Yes,www.opportunitiesnow.org,,,,,1
44,"1.Increase productivity, employment and value addition in food systems",2. Connect smallholders to markets,OakarServices,AGTECH,Digital Advisory,,"GIS/RemoteSensing,Mobile - Advisory,Data Analytics",GIS/RemoteSensing,Mobile - Advisory,Data Analytics,,Nairobi,Kenya,,,",World Bank,,,",,World Bank,,,,,Oakar services,,,,User,Private,"Oakar’s solution package offers farmers and other stakeholders access the latest knowledge, training, practices, data and mechanization best suited for them. Oakar’s Analytics platform incorporates dynamic datasets that can provide market information and facilitate easy links between producers and markets","Individual,Business,Government,Organizations,",Individual,Business,Government,Organizations,,,Yes,https://osl.co.ke/,https://twitter.com/OakarServices,,http://documents1.worldbank.org/curated/en/404601562827298352/pdf/Creating-an-Innovation-to-Connect-a-Million-Kenyan-Farmers-to-Disruptive-Agricultural-Technologies.pdf,https://pubdocs.worldbank.org/en/818771556638331151/Oakar-Services.pdf,
45,3.Improve livelihoods and foster inclusive economic growth ,9. Empower people and fight inequalities,Open Ag Data Alliance,AGTECH,Digital Procurement,,"Platform data-sharing,,",Platform data-sharing,,,,Indiana,United States,,,"Wilbur-Ellis Company,AgReliant Genetics,CNH Industrial,Climate Corporation,GrowMark",Wilbur-Ellis Company,AgReliant Genetics,CNH Industrial,Climate Corporation,GrowMark,https://www.farmprogress.com/precision-farming/open-standards-group-gets-rolling,Purdue University's Open Ag Technology Group,,,,,Parnertship,"The purpose of the Open Ag Data Alliance is to develop a standard API framework for automated data exchange. If a person has data stored in one place, and would like an app or service to be able to access it, they need only know the top-level domain where their data sits in order for the app or service to use it, providing permission when setting up the connection. The group's mission is to help farmers increase yield from the systems they have on their farms by helping gather data from disparate systems on the farm, provide farmers control over what happens with their data; and maximize data privacy.","Individual,Business,Organizations,,",Individual,Business,Organizations,,,,Not sure,https://openag.io/partners/,https://twitter.com/openagio,"The central guiding principle of OADA is that each farmer owns data generated or entered by the farmer, their employees, or by machines performing activities on their farm. By enabling interoperability through secure, public API’s for transferring and using data, farmers will be free to choose cloud providers they trust while retaining control over who can use their data. The OADA community is building a set of open API’s for securely using data with the cloud. Anyone can use these API’s in their own cloud systems, and if they pass the same software tests as the open reference implementation, they will be considered technically compliant. Community guidelines are also being developed outlining data privacy and use standards that will be used to define levels of OADA compliance.",http://openag.io/,http://openag.io/partners/,https://open-stand.org/open-ag-data-alliance-how-open-standards-fuel-the-future-of-farming/
46,"4.Enhance the resilience of people, communities and ecosystems",13. Prevent and protect against shocks: enhance resilience,Open Data for Resilience,DATA EMPOWERMENT,Digital Advisory,"Mobile apps, crowdsourcing platforms, remote sensing / UAV imagery","Platform data-sharing,GIS/RemoteSensing,Mobile - Advisory",Platform data-sharing,GIS/RemoteSensing,Mobile - Advisory,,,Viet Nam,"Sri Lanka, Vietnam, Bangladesh, Nepal","Crowdfunding, Donor, Government",",,,,",,,,,,,GFDRR Innovation Labs,,,,,,"We employ OpenStreetMap, the editable wiki map of the world, to collect disaster resilience data used by governments and disaster managers. This makes sharing of project specific data automatic, preventing duplication of data collection effort in the long run and allowing government partners to reuse or build on the data for other work. We train partner organizations inside the government and out to reuse the data for their own use cases and involve them in the data collection itself. We use free and open source technology to accomplish all these tasks. The outcome is not just more efficient data sharing but a more open, collaborative approach to governance and engaged citizens.","Individual,Community,Business,Government,",Individual,Community,Business,Government,,,Yes,opendri.org,,,,,1
47,"1.Increase productivity, employment and value addition in food systems",4. Build producers’ knowledge and develop their capacities,People centered Agro-Meteorological Advisory Service,AGTECH,Digital Advisory,"Interactive Voice Response (IVR), concurrent Voice Call Blast, Mobile Based Data Collection Application","IVR,Mobile - Advisory,Data Analytics",IVR,Mobile - Advisory,Data Analytics,SMS,,Bangladesh,Bangladesh,Donor,",,,,",,,,,,,Practical Action-Bangladesh,,,,,,"Bangladesh is one of the first line victims of ongoing and upcoming threats of climate change due to its geographical location, poverty and higher dependence on climate sensitive sectors like agriculture. Agriculture is highly dependent on climate and accurate climate information is necessary for farming decisions, from land preparation and crop selection to timing of planting, exposure to diseases, input management and harvesting  could be guided to optimize benefits from a localized weather forecast, if it is provided, timely. This assists farmers to organize themselves better in order to get maximum benefits. Therefore we have designed an agro-met advisory service for the flood vulnerable communities of riverine districts on a regular interval. Seven days agro-met advisories  are prepared in consultation with Bangladesh Meteorological Department and Agricultural Information Service which is disseminated in voice clip format with what to do in pre and post flood in local dialects.","Individual,Community,Business,Government,",Individual,Community,Business,Government,,,Yes,www.practicalaction.org.bd,,,,,1
48,3.Improve livelihoods and foster inclusive economic growth ,9. Empower people and fight inequalities,PETANI,AGTECH,Digital Advisory,"SMS, Android Application  (mobile app), Mobile-web","SMS,Mobile - Advisory,",SMS,Mobile - Advisory,,,,Indonesia,Indonesia,"Private investors, Self-funded",",,,,",,,,,,,PT 8villages Indonesia,,,,,,"PETANI is an education and communication application that focuses on empowering people in the villages, starting with farmers but including other micro businesses too. We help farmers increase yields, we help micro businesses improve, we help government to have a direct engagement with the unreachable,  and ultimately connect rural communities with MNCs, turning CSR into value. ","Individual,Community,Business,Government,",Individual,Community,Business,Government,,,Yes,8villages.com,,,,,1
49,"1.Increase productivity, employment and value addition in food systems",4. Build producers’ knowledge and develop their capacities,Precision Agriculture For Developoment,AGTECH,Digital Advisory,,"SMS,,",SMS,,,,Boston,United States,,,"Bill and Melinda Gates Foundation,International Fund for Agricultural Development (IFAD),International Food Policy Research Institute (IFPRI) ,Anonymous x 3,Montpelier Foundation",Bill and Melinda Gates Foundation,International Fund for Agricultural Development (IFAD),International Food Policy Research Institute (IFPRI) ,Anonymous x 3,Montpelier Foundation,https://precisionag.org/who-we-are/our-funders/,Precision development ,,,,,NGO,We are establishing a new model for digital extension: reaching farmers and other users with personalized advice through their mobile phones. We implement this model in collaboration with partner organizations and governments and gather evidence on its impact. We aim to improve the lives of 100 million farmers in developing countries with our services and support to existing systems.,"Individual,Community,Government,Organizations,",Individual,Community,Government,Organizations,,500000000,Yes,https://precisionag.org/,,"Precision Agriculture for Development provides low-cost mobile agronomic advice to farmers that is accessible, relevant, and customized to boost yields",http://documents1.worldbank.org/curated/en/404601562827298352/pdf/Creating-an-Innovation-to-Connect-a-Million-Kenyan-Farmers-to-Disruptive-Agricultural-Technologies.pdf,,
50,"4.Enhance the resilience of people, communities and ecosystems",13. Prevent and protect against shocks: enhance resilience,Pula,FINTECH,Insurance,,"Mobile - Advisory,AI & Machine learning,GIS/RemoteSensing",Mobile - Advisory,AI & Machine learning,GIS/RemoteSensing,,Mollis,Switzerland,,,"Accion Venture Lab,Women's World banking,TL.com Capital Partners,Mastercard Foundation,Mercy Corps Ventures",Accion Venture Lab,Women's World banking,TL.com Capital Partners,Mastercard Foundation,Mercy Corps Ventures,https://www.crunchbase.com/organization/pula-advisors/company_financials,Pula Advisors,,,,,Startup,"Pula provides agricultural insurance for traditionally excluded small-holder farmers by leveraging cutting-edge technology and an extensive network of partners, including the World Food Program’s R4 Rural Resilience Initiative. In addition to insurance, Pula provides data-driven insights and advice to help farmers like Rose gain higher yields on their crops in sustainable ways","Individual,Organizations,,,",Individual,Organizations,,,,,Yes,https://www.pula-advisors.com/,https://twitter.com/advisorspula?lang=en,,,,
51,2.Protect and enhance natural resources,7. Mainstream biodiversity conservation and protect ecosystem functions,Rainforest Connection ,AGTECH,Digital Advisory,,"Data Analytics,Sensors,",Data Analytics,Sensors,,,San Francisco,United States,Peru,,"DRK Foundations,,,,",DRK Foundations,,,,,,Rainforest Connection,,,,,NGO,"Rainforest Connection (RFCx) creates acoustic monitoring systems for those who wish to end illegal deforestation in real-time. Rainforest Connection is a non-profit technology startup that generates real-time data on deforestation activity in tropical rainforests.
","Community,Organizations,,,",Community,Organizations,,,,,Yes,https://rfcx.org/,,stop ilegal deforeestation in protected areas ??,https://alexmoltzau.medium.com/artificial-intelligence-and-rainforest-connection-d4e724ce6203,,
